,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
613564,Jason Vosler,36,0,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,23,21,14,6,1,4,29,10,1,26,2,.265,98,.342,.469,.811,1,1,.500,3,419,,,,,,,,,,,,,,,,,,,,,,46,1.10,,,,,,,,,,,,0,0,1,,,111,12,36,.333,24.50
605194,Jharel Cotton,25,0,2,1,0,3,1.000,0.12,0.77,35.0,25,0,0,0,23,49,13,5,0,7,31,16,0,23,2,.185,124,.285,.395,.680,1,2,.667,2,582,2.83,35.0,2,2,0,2,2,2,11,1.11,144,105,25,0,0,374,.640,2,0,2,0,49,0.47,.500,16.63,7,1.94,7.97,4.11,5.91,3.34,1.80,8,6,0,0,2,,,,,,,
663698,Joey Bart,97,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,48,45,34,6,0,11,112,26,0,56,4,.215,261,.296,.364,.660,1,2,.667,5,1161,,,,,,,,,,,,,,,,,,,,32,0,95,1.07,,,,,,,,,,,,0,0,0,4,4.03,291,25,114,.326,23.73
605154,John Brebbia,76,11,10,4,0,14,1.000,0.18,1.85,68.0,76,0,0,0,58,86,27,20,3,5,54,18,2,71,1,.268,265,.315,.423,.738,4,4,.500,2,1091,3.18,68.0,6,2,0,4,18,4,24,1.31,288,204,76,0,0,733,.670,1,0,0,0,112,0.67,.750,16.04,4,3.00,7.15,2.38,9.40,3.57,0.66,24,7,0,2,2,,,,,,,
664774,Wade Jr.,77,9,0,0,0,0,.000,0.00,-.--,0.0,10,0,0,0,50,74,29,7,1,8,51,26,0,45,5,.207,217,.305,.359,.664,0,1,1.000,0,992,,,,,,,,,,,,,,,,,,,,,,78,0.68,,,,,,,,,,,,0,2,1,,,251,26,85,.233,27.12
656814,Luis Ortiz,6,0,2,0,0,2,1.000,0.33,2.25,8.2,6,0,0,0,8,11,1,0,0,0,6,3,0,5,0,.167,30,.242,.167,.409,0,1,1.000,1,118,1.04,8.2,0,0,0,0,0,0,1,0.92,33,26,6,0,0,77,.650,0,0,0,0,5,0.73,.---,13.62,4,2.00,6.23,3.12,5.19,1.04,0.00,3,1,0,0,0,,,,,,,
573262,Mike Yastrzemski,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,100,147,73,31,2,17,141,61,0,104,5,.214,485,.305,.392,.697,1,5,.833,3,2349,,,,,,,,,,,,,,,,,,,,,,190,0.68,,,,,,,,,,,,0,1,6,,,558,57,216,.261,28.53
518397,Scott Alexander,17,4,5,2,0,7,1.000,0.41,3.71,17.1,17,1,0,0,34,6,2,2,0,1,10,1,0,12,0,.194,62,.206,.274,.480,0,0,.---,2,214,1.04,17.1,0,0,2,2,5,0,2,0.75,63,52,17,0,0,148,.690,0,0,0,0,17,5.67,.---,12.35,3,10.00,5.19,0.52,6.23,1.04,0.52,8,0,0,0,0,,,0,0,0,.---,-.--
663546,Sean Hjelle,8,0,2,1,2,5,.600,0.38,1.08,25.0,8,1,0,2,33,12,19,3,0,3,28,8,0,33,1,.311,106,.365,.425,.790,0,0,.---,5,474,5.76,25.0,1,2,0,0,1,0,16,1.64,115,75,8,0,0,302,.640,1,0,1,0,45,2.75,.333,18.96,0,3.50,10.08,2.88,11.88,6.84,1.08,1,0,0,0,0,,,,,,,
571946,Shelby Miller,4,0,0,0,0,0,.000,0.00,0.00,7.0,4,0,0,0,1,6,5,3,0,0,14,3,1,6,0,.222,27,.300,.333,.633,0,0,.---,0,127,6.43,7.0,0,1,0,0,1,0,5,1.29,30,21,4,0,0,85,.670,0,0,0,0,9,0.17,.000,18.14,0,4.67,18.00,3.86,7.71,6.43,0.00,0,0,0,0,0,,,,,,,
642731,Thairo Estrada,1,0,0,0,0,0,.000,0.00,0.00,2.0,1,0,0,0,162,116,71,23,2,14,89,33,0,127,14,.260,488,.322,.402,.724,6,21,.778,10,1945,,,,,,,,,,,,,,,,,,,,,,196,1.40,,,,,,,,,,,,0,1,5,,,541,62,215,.290,34.86
643511,Tyler Rogers,68,0,21,5,1,27,.963,0.38,3.12,75.2,68,1,0,1,102,66,34,17,3,3,49,23,0,73,5,.253,288,.318,.365,.683,0,3,1.000,9,1166,3.57,75.2,3,4,0,1,15,1,30,1.27,319,227,68,0,0,766,.660,5,1,1,0,105,1.55,.429,15.41,8,2.13,5.83,2.74,8.68,4.04,0.36,11,6,1,0,2,,,,,,,
527038,Wilmer Flores,26,23,0,0,0,0,.000,0.00,-.--,0.0,26,0,0,0,113,196,72,28,1,19,103,59,1,120,11,.229,525,.316,.394,.710,0,0,.---,7,2426,,,,,,,,,,,,,,,,,,,,,,207,0.58,,,,,,,,,,,,0,0,7,,,602,71,192,.246,27.63
628708,Yunior Marte,39,0,7,0,0,7,1.000,0.18,1.31,48.0,39,1,0,0,52,43,32,8,1,5,44,22,0,47,6,.255,184,.350,.391,.741,1,1,.500,4,856,5.44,48.0,1,1,0,1,2,1,29,1.44,214,144,39,0,0,541,.630,6,0,3,0,72,1.21,.500,17.83,10,2.00,8.25,4.13,8.81,6.00,0.94,10,5,0,0,2,,,,,,,
676265,,16,9,1,2,0,3,1.000,0.19,0.56,48.0,16,0,0,0,29,68,30,12,0,12,45,25,0,44,5,.239,184,.343,.500,.843,1,4,.800,0,845,5.25,48.0,0,5,0,0,0,0,28,1.44,216,144,16,0,0,522,.620,5,0,2,0,92,0.43,.000,17.60,7,1.80,8.44,4.69,8.25,5.63,2.25,2,0,0,0,2,,,,,,,
671083,Buddy Kennedy,3,2,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,18,26,10,2,2,1,23,8,0,18,1,.217,83,.287,.325,.612,0,0,.---,1,363,,,,,,,,,,,,,,,,,,,,,,27,0.69,,,,,,,,,,,,0,0,2,,,94,12,23,.279,83.00
592761,Caleb Smith,44,1,7,2,0,9,1.000,0.20,1.16,70.0,44,1,0,0,52,88,35,11,1,14,65,39,1,57,1,.218,261,.322,.429,.751,2,1,.333,4,1234,4.11,70.0,1,3,0,0,6,0,32,1.37,302,210,44,0,0,775,.630,1,0,1,1,112,0.59,.250,17.63,14,1.67,8.36,5.01,7.33,4.50,1.80,15,3,0,1,0,,,,,,,
608348,Carson Kelly,4,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,2,11,4,2,0,1,0,2,0,9,0,.409,22,.458,.636,1.094,0,0,.---,0,68,7.71,4.2,0,0,0,0,0,0,4,2.36,24,14,4,0,0,41,.600,0,0,0,0,14,0.18,.---,14.57,4,0.00,0.00,3.86,17.36,7.71,1.93,3,2,0,0,0,3,3.82,354,35,159,.247,45.29
572233,Christian Walker,11,11,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,138,180,84,25,2,36,131,69,2,141,8,.242,583,.327,.477,.804,2,2,.500,15,2543,,,,,,,,,,,,,,,,,,,,,,278,0.77,,,,,,,,,,,,0,0,7,,,667,94,259,.248,16.19
669450,Cooper Hummel,16,12,0,0,0,0,.000,0.00,-.--,0.0,16,0,0,0,45,37,20,8,3,3,64,23,0,31,1,.176,176,.274,.307,.581,0,7,1.000,4,819,,,,,,,,,,,,,,,,,,,,9,0,54,1.22,,,,,,,,,,,,0,0,1,4,4.87,201,17,77,.255,58.67
682998,Corbin Carroll,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,26,20,13,9,2,4,31,8,0,27,3,.260,104,.330,.500,.830,1,2,.667,1,458,,,,,,,,,,,,,,,,,,,,,,52,1.30,,,,,,,,,,,,0,0,0,,,115,14,46,.333,26.00
662139,Daulton Varsho,15,15,0,0,0,0,.000,0.00,-.--,0.0,15,0,0,0,129,139,79,23,3,27,145,46,0,125,7,.235,531,.302,.443,.745,6,12,.667,8,2321,,,,,,,,,,,,,,,,,,,,7,0,235,0.93,,,,,,,,,,,,2,2,5,3,5.71,592,74,181,.269,19.67
686753,Drey Jameson,4,4,2,2,0,4,1.000,1.00,1.50,24.1,4,0,0,0,30,16,4,4,0,2,24,7,0,20,1,.222,90,.286,.333,.619,0,2,1.000,3,369,1.48,24.1,3,0,0,0,0,0,4,1.11,98,73,4,0,0,240,.650,1,0,1,0,30,1.88,1.000,15.16,0,3.43,8.88,2.59,7.40,1.48,0.74,0,0,0,0,0,,,,,,,
672695,Geraldo Perdomo,140,131,329,169,14,512,.973,3.56,3.86,1160.0,140,83,0,8,143,115,58,10,2,5,103,50,0,84,5,.195,431,.285,.262,.547,2,9,.818,3,2061,,,,,,,,,,,,,,,,,,,,,,113,1.24,,,,,,,,,,,,0,12,2,,,500,40,168,.243,86.20
453178,Ian Kennedy,57,0,0,1,0,1,1.000,0.02,0.18,50.1,57,0,0,0,29,78,33,11,1,11,44,22,3,57,1,.278,205,.346,.502,.848,1,4,.800,2,867,5.36,50.1,4,7,10,16,10,6,30,1.57,232,151,57,0,0,565,.650,1,0,3,0,103,0.37,.364,17.23,21,2.00,7.87,3.93,10.19,5.90,1.97,7,1,1,0,3,,,0,0,0,.---,-.--
606993,Jake Hager,1,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,12,10,4,2,0,0,17,8,0,12,0,.240,50,.345,.280,.625,0,0,.---,0,260,7.71,2.1,0,0,0,0,0,0,2,1.29,10,7,3,0,0,21,.750,0,0,0,0,14,1.20,.---,12.00,3,-.--,3.86,0.00,11.57,7.71,0.00,1,0,0,1,0,,,59,3,21,.364,-.--
664983,Jake McCarthy,99,11,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,91,67,53,16,3,8,76,23,0,91,6,.283,321,.342,.427,.769,3,23,.885,3,1263,,,,,,,,,,,,,,,,,,,,,,137,1.36,,,,,,,,,,,,0,3,1,,,354,43,115,.349,40.12
573009,Joe Mantiply,69,0,5,2,0,7,1.000,0.10,1.05,60.0,69,0,0,0,66,48,22,6,0,6,61,6,0,59,3,.255,231,.281,.359,.640,0,2,1.000,5,861,2.85,60.0,2,5,2,8,22,6,19,1.08,243,180,69,0,0,614,.710,3,1,3,0,83,1.38,.286,14.35,9,10.17,9.15,0.90,8.85,3.30,0.90,35,16,0,1,2,,,0,0,0,.---,-.--
656669,Jordan Luplow,83,4,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,48,62,26,5,0,11,60,25,1,36,3,.176,205,.274,.361,.635,1,5,.833,5,1006,,,,,,,,,,,,,,,,,,,,,,74,0.77,,,,,,,,,,,,0,0,1,,,234,28,105,.185,18.64
668942,Josh Rojas,5,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,115,121,66,25,1,9,98,55,2,119,2,.269,443,.349,.391,.740,3,23,.885,7,2033,,,,,,,,,,,,,,,,,,,,,,173,0.95,,,,,,,,,,,,0,5,5,,,510,56,156,.323,49.22
656464,Kevin Ginkel,30,0,4,1,0,5,1.000,0.17,1.55,29.1,30,0,0,0,30,25,14,7,0,1,30,11,0,27,1,.243,111,.315,.333,.648,0,1,1.000,5,479,3.38,29.1,1,1,1,3,5,2,11,1.30,124,88,30,0,0,313,.650,1,0,1,0,37,1.20,.500,16.33,3,2.73,9.20,3.38,8.28,4.30,0.31,14,5,0,0,1,,,0,0,0,.---,-.--
518516,Madison Bumgarner,30,30,11,2,0,13,1.000,0.43,0.74,158.2,30,3,0,0,148,201,97,50,3,25,112,49,0,179,9,.281,637,.340,.487,.827,5,15,.750,14,2715,4.88,158.2,7,15,0,0,0,0,86,1.44,698,476,30,0,0,1752,.650,9,0,2,2,310,0.74,.318,17.11,0,2.29,6.35,2.78,10.15,5.50,1.42,0,0,0,1,2,,,,,,,
453343,Mark Melancon,62,0,6,5,0,11,1.000,0.18,1.77,56.0,62,2,0,0,62,65,37,10,0,5,35,21,2,63,1,.281,224,.346,.393,.739,1,3,.750,5,886,4.66,56.0,3,10,18,21,1,3,29,1.50,247,168,62,0,0,559,.630,1,0,6,0,88,0.95,.231,15.82,48,1.67,5.63,3.38,10.13,5.95,0.80,3,1,0,1,0,,,0,0,0,.---,-.--
518876,Merrill Kelly,33,33,19,15,1,35,.971,1.03,1.53,200.1,33,2,0,1,200,197,77,40,2,21,177,61,2,167,2,.226,739,.286,.371,.657,5,15,.750,14,3071,3.37,200.1,13,8,0,0,0,0,75,1.14,804,601,33,0,0,2011,.650,2,1,4,4,274,1.02,.619,15.33,0,2.90,7.95,2.74,7.50,3.46,0.94,0,0,0,1,1,,,,,,,
656976,Pavin Smith,22,18,0,0,0,0,.000,0.00,-.--,0.0,22,0,0,0,59,68,24,9,0,9,67,28,1,54,1,.220,245,.300,.367,.667,0,1,1.000,2,1109,,,,,,,,,,,,,,,,,,,,,,90,0.87,,,,,,,,,,,,0,0,3,,,277,33,105,.262,27.22
606625,Reyes Moronta,22,0,1,0,1,2,.500,0.05,0.39,23.2,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,4.18,23.2,0,0,0,0,0,0,11,1.14,98,71,22,0,0,247,.630,2,0,4,0,0,-.--,.---,16.65,6,2.70,10.27,3.80,6.46,4.18,1.90,4,1,0,0,0,,,0,0,0,.---,-.--
664092,Sean Poppen,29,0,2,2,0,4,1.000,0.14,1.29,28.2,29,0,0,0,24,34,15,6,1,5,22,12,3,27,1,.265,102,.336,.490,.826,1,1,.500,2,439,4.40,28.2,2,2,0,1,4,1,14,1.36,120,86,29,0,0,280,.640,1,0,2,1,50,0.71,.500,15.31,6,1.83,6.91,3.77,8.48,4.71,1.57,13,1,0,1,4,,,0,0,0,.---,-.--
642727,Sergio Alcantara,1,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,8,12,3,0,0,0,12,2,0,4,0,.114,35,.158,.114,.272,2,0,.000,0,165,,,,,,,,,,,,,,,,,,,,,,4,0.67,,,,,,,,,,,,0,0,1,,,38,3,28,.167,-.--
656448,Stone Garrett,27,8,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,9,20,13,8,0,4,27,3,0,21,1,.276,76,.309,.539,.848,1,3,.750,1,312,,,,,,,,,,,,,,,,,,,,,,41,0.45,,,,,,,,,,,,3,0,1,,,84,10,26,.370,19.00
642203,Taylor Widener,14,0,0,1,0,1,1.000,0.07,0.53,17.1,14,0,0,0,11,27,8,4,0,2,14,5,1,22,3,.297,74,.366,.432,.798,0,2,1.000,0,329,3.63,17.1,0,1,0,1,1,1,7,1.56,82,52,14,0,0,223,.680,3,0,0,0,32,0.41,.000,18.98,4,2.80,7.27,2.60,11.42,4.15,1.04,7,4,0,0,0,,,,,,,
674072,Tommy Henry,9,9,1,1,0,2,1.000,0.22,0.38,47.0,9,0,0,0,47,51,28,8,0,10,36,21,1,47,3,.263,179,.348,.475,.823,0,2,1.000,5,773,5.36,47.0,3,4,0,0,0,0,28,1.45,205,141,9,0,0,493,.640,3,0,3,0,85,0.92,.429,16.45,0,1.71,6.89,4.02,9.00,5.36,1.91,0,0,0,1,1,,,,,,,
668678,Zac Gallen,31,31,16,10,1,27,.963,0.84,1.27,184.0,31,3,0,1,173,169,56,32,1,15,192,47,0,121,12,.186,651,.252,.307,.559,3,6,.667,12,2935,2.54,184.0,12,4,0,0,0,0,52,0.91,714,552,31,0,0,1911,.650,12,0,5,0,200,1.02,.750,15.95,0,4.09,9.39,2.30,5.92,2.74,0.73,0,0,0,1,3,,,,,,,
605200,Zach Davies,27,27,16,17,1,34,.971,1.22,2.22,134.1,27,1,0,0,144,148,66,20,2,21,102,52,0,122,2,.241,507,.309,.412,.721,5,7,.583,10,2292,4.09,134.1,2,5,0,0,0,0,61,1.30,570,403,27,0,0,1385,.600,2,0,1,1,209,0.97,.286,17.06,0,1.96,6.83,3.48,8.17,4.42,1.41,0,0,0,1,8,,,,,,,
676265,,16,9,1,2,0,3,1.000,0.19,0.56,48.0,16,0,0,0,29,68,30,12,0,12,45,25,0,44,5,.239,184,.343,.500,.843,1,4,.800,0,845,5.25,48.0,0,5,0,0,0,0,28,1.44,216,144,16,0,0,522,.620,5,0,2,0,92,0.43,.000,17.60,7,1.80,8.44,4.69,8.25,5.63,2.25,2,0,0,0,2,,,,,,,
676701,Alan Trejo,35,17,55,20,4,79,.949,3.75,4.19,161.0,20,13,0,2,30,25,15,6,0,4,31,5,0,32,2,.271,118,.312,.424,.736,2,1,.333,3,494,,,,,,,,,,,,,,,,,,,,,,50,1.20,,,,,,,,,,,,0,0,0,,,125,17,49,.337,29.50
517008,Alex Colome,53,0,5,3,0,8,1.000,0.15,1.53,47.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,5.74,47.0,2,7,4,7,7,3,30,1.68,215,141,53,0,0,482,.600,0,1,4,0,0,-.--,.222,17.09,13,1.45,6.13,4.21,10.91,6.89,0.96,0,0,0,0,0,,,0,0,0,.---,-.--
596295,Austin Gomber,33,17,9,7,0,16,1.000,0.48,1.16,124.2,33,2,0,0,135,126,80,27,5,20,95,34,1,137,2,.281,488,.328,.480,.808,4,8,.667,13,2059,5.56,124.2,5,7,0,0,0,0,77,1.37,529,374,33,0,0,1323,.640,2,0,4,2,234,1.07,.417,16.52,2,2.79,6.86,2.45,9.89,5.78,1.44,17,10,0,1,4,,,,,,,
663898,Brendan Rodgers,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,167,124,72,30,3,13,101,46,0,140,3,.266,527,.325,.408,.733,0,0,.---,25,2112,,,,,,,,,,,,,,,,,,,,,,215,1.35,,,,,,,,,,,,0,0,5,,,581,63,242,.304,40.54
661531,Brian Serven,1,0,0,3,0,3,1.000,3.00,13.50,2.0,1,0,0,0,59,49,19,4,1,6,44,13,0,38,2,.203,187,.261,.332,.593,10,41,.804,7,796,0.00,1.0,0,0,0,0,0,0,0,1.00,3,3,1,0,0,4,.500,0,0,21,0,62,1.20,.---,8.00,1,0.00,0.00,9.00,0.00,0.00,0.00,0,0,1,2,1,2,4.85,205,16,90,.232,31.17
543068,C.J. Cron,28,28,0,0,0,0,.000,0.00,-.--,0.0,28,0,0,0,124,144,79,28,3,29,164,43,6,148,8,.257,575,.315,.468,.783,0,0,.---,16,2500,,,,,,,,,,,,,,,,,,,,,,269,0.86,,,,,,,,,,,,1,0,5,,,632,102,268,.307,19.83
663385,Chad Smith,15,0,0,0,1,1,.000,0.00,0.00,18.0,15,0,0,1,17,12,15,3,1,2,23,15,0,16,2,.239,67,.388,.403,.791,2,1,.333,0,337,7.50,18.0,0,1,0,1,0,1,15,1.72,85,54,15,0,0,187,.550,2,0,3,0,27,1.42,.000,18.72,2,1.53,11.50,7.50,8.00,7.50,1.00,14,9,0,0,1,,,,,,,
453268,Daniel Bard,57,0,6,2,0,8,1.000,0.14,1.20,60.1,57,0,0,0,63,50,15,9,0,3,69,25,1,35,3,.162,216,.257,.245,.502,0,5,1.000,1,953,1.79,60.1,6,4,34,37,0,3,12,0.99,245,181,57,0,0,612,.640,3,0,3,0,53,1.26,.600,15.80,48,2.76,10.29,3.73,5.22,2.24,0.45,2,0,0,0,1,,,0,0,0,.---,-.--
659275,Dinelson Lamet,13,0,1,0,0,1,1.000,0.08,0.75,12.1,13,0,0,0,7,13,14,6,0,2,16,9,0,16,1,.320,50,.419,.560,.979,0,0,.---,0,236,9.49,12.1,0,1,0,0,1,0,13,2.03,62,37,13,0,0,143,.610,1,0,3,0,28,0.54,.000,19.14,3,1.78,11.68,6.57,11.68,10.22,1.46,13,7,0,0,2,,,,,,,
660707,Elehuris Montero,12,12,0,0,0,0,.000,0.00,-.--,0.0,12,0,0,0,33,42,21,15,1,6,60,8,0,41,1,.233,176,.270,.432,.702,0,0,.---,4,674,,,,,,,,,,,,,,,,,,,,,,76,0.79,,,,,,,,,,,,0,0,0,,,185,20,72,.318,29.33
553869,Elias Diaz,104,94,52,672,11,735,.985,6.96,7.82,833.1,104,3,0,9,101,91,29,18,2,9,82,25,0,80,2,.228,351,.281,.368,.649,15,48,.762,8,1445,,,,,,,,,,,,,,,,,,,,41,4,129,1.11,,,,,,,,,,,,1,0,3,3,5.16,381,51,180,.270,39.00
678662,Ezequiel Tovar,9,9,20,14,0,34,1.000,3.78,3.92,78.0,9,2,0,0,11,6,2,1,0,1,9,2,0,7,0,.212,33,.257,.333,.590,0,0,.---,0,126,,,,,,,,,,,,,,,,,,,,,,11,1.83,,,,,,,,,,,,0,0,0,,,35,2,21,.261,33.00
641658,Garrett Hampson,90,0,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,56,43,29,7,3,2,63,21,0,42,1,.211,199,.287,.307,.594,2,12,.857,3,886,,,,,,,,,,,,,,,,,,,,,,61,1.30,,,,,,,,,,,,0,3,2,,,226,15,87,.294,99.50
668970,Gavin Hollowell,6,0,0,1,0,1,1.000,0.17,1.29,7.0,6,0,0,0,4,9,7,1,0,1,8,4,0,7,0,.259,27,.344,.407,.751,0,0,.---,0,143,7.71,7.0,0,2,0,0,0,0,6,1.57,32,21,6,0,0,87,.610,0,0,0,0,11,0.44,.000,20.43,3,2.00,10.29,5.14,9.00,9.00,1.29,5,1,0,0,1,,,,,,,
608566,German Marquez,31,31,15,6,2,23,.913,0.68,1.04,181.2,31,1,0,2,212,165,109,45,5,30,150,63,0,185,4,.263,704,.324,.469,.793,2,10,.833,21,2839,5.00,181.2,9,13,0,0,0,0,101,1.37,779,545,31,0,0,1851,.650,4,2,8,2,330,1.28,.409,15.63,0,2.38,7.43,3.12,9.17,5.40,1.49,0,0,0,1,7,,,,,,,
656234,Jake Bird,38,0,5,2,0,7,1.000,0.18,1.34,47.2,38,0,0,0,61,36,29,6,2,7,42,23,3,45,4,.249,181,.343,.420,.763,0,4,1.000,5,745,4.91,47.2,2,4,0,1,5,1,26,1.43,211,143,38,0,0,446,.600,4,0,4,0,76,1.69,.333,15.63,11,1.83,7.93,4.34,8.50,5.48,1.32,16,6,0,1,2,,,,,,,
578428,Jose Iglesias,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,146,112,48,30,0,3,56,17,0,128,8,.292,439,.328,.380,.708,3,2,.400,11,1738,,,,,,,,,,,,,,,,,,,,,,167,1.30,,,,,,,,,,,,0,0,3,,,467,47,179,.326,146.33
570632,Jose Urena,4,0,0,0,0,0,.000,0.00,0.00,7.2,4,0,0,0,11,10,5,1,0,1,3,5,0,7,0,.241,29,.333,.379,.712,0,0,.---,0,121,3.52,7.2,0,0,0,0,0,0,3,1.57,36,23,4,0,0,74,.610,0,0,1,0,11,1.10,.---,15.78,1,0.60,3.52,5.87,8.22,5.87,1.17,4,3,0,0,2,,,,,,,
664875,Justin Lawrence,38,0,11,0,0,11,1.000,0.29,2.36,42.2,38,1,0,0,47,29,27,9,1,3,48,22,0,44,1,.265,166,.351,.386,.737,1,3,.750,3,763,5.70,42.2,3,1,1,3,7,2,27,1.55,191,128,38,0,0,481,.630,1,0,1,0,64,1.62,.750,17.88,11,2.18,10.13,4.64,9.28,5.70,0.63,28,7,0,0,2,,,,,,,
607536,Kyle Freeland,31,31,14,2,0,16,1.000,0.52,0.83,174.2,31,0,0,0,183,190,96,47,8,19,131,53,0,193,16,.281,687,.342,.456,.798,6,15,.714,19,2839,4.53,174.2,9,11,0,0,0,0,88,1.41,766,524,31,0,0,1793,.630,16,0,4,1,313,0.96,.450,16.25,0,2.47,6.75,2.73,9.94,4.95,0.98,0,0,0,1,9,,,,,,,
669911,Michael Toglia,31,17,1,20,0,21,1.000,1.24,1.32,143.0,17,0,0,0,22,21,10,8,2,2,44,9,0,24,0,.216,111,.275,.378,.653,1,1,.500,2,478,,,,,,,,,,,,,,,,,,,,,,42,1.05,,,,,,,,,,,,0,0,0,,,120,12,44,.338,55.50
545341,Randal Grichuk,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,0,10,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,6,.600,0,0,0,0,0,2.00,.---,10.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,,,538,73,216,.309,26.63
663372,Ryan Feltner,20,19,7,8,0,15,1.000,0.75,1.39,97.1,20,0,0,0,99,102,65,18,4,16,84,35,0,102,5,.266,383,.333,.460,.793,1,10,.909,5,1675,5.83,97.1,4,9,0,0,0,0,63,1.41,428,292,20,0,0,1053,.630,5,0,4,0,176,0.97,.308,17.21,0,2.40,7.77,3.24,9.43,6.01,1.48,3,0,1,0,4,,,,,,,
641857,Ryan McMahon,153,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,128,116,67,23,3,20,158,60,0,130,5,.246,529,.327,.414,.741,3,7,.700,7,2559,,,,,,,,,,,,,,,,,,,,,,219,1.10,,,,,,,,,,,,0,0,3,,,597,67,227,.311,26.45
656248,Sean Bouchard,26,25,0,53,0,53,1.000,2.04,2.19,218.1,26,0,0,0,12,16,9,6,0,3,25,21,0,22,1,.297,74,.454,.500,.954,0,0,.---,1,418,,,,,,,,,,,,,,,,,,,,,,37,0.75,,,,,,,,,,,,0,0,1,,,97,11,31,.404,24.67
621389,Ty Blach,24,1,3,5,0,8,1.000,0.33,1.64,44.1,24,0,0,0,52,48,29,14,2,4,29,11,2,51,2,.291,175,.333,.463,.796,0,0,.---,3,674,5.89,44.1,1,0,1,2,0,1,29,1.40,193,133,24,0,0,464,.690,2,0,1,0,81,1.08,1.000,15.20,10,2.64,5.89,2.23,10.35,5.89,0.81,14,4,0,1,4,,,,,,,
602074,Yonathan Daza,1,0,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,138,70,56,21,2,2,58,26,0,112,4,.301,372,.349,.384,.733,3,0,.000,12,1536,,,,,,,,,,,,,,,,,,,,,,143,1.97,,,,,,,,,,,,0,1,5,,,408,34,140,.347,186.00
676265,,16,9,1,2,0,3,1.000,0.19,0.56,48.0,16,0,0,0,29,68,30,12,0,12,45,25,0,44,5,.239,184,.343,.500,.843,1,4,.800,0,845,5.25,48.0,0,5,0,0,0,0,28,1.44,216,144,16,0,0,522,.620,5,0,2,0,92,0.43,.000,17.60,7,1.80,8.44,4.69,8.25,5.63,2.25,2,0,0,0,2,,,,,,,
621345,A.J. Minter,75,0,4,2,0,6,1.000,0.08,0.77,70.0,75,0,0,0,45,65,21,12,0,5,94,15,0,49,3,.198,248,.249,.306,.555,3,7,.700,4,1111,2.06,70.0,5,4,5,9,34,4,16,0.91,271,210,75,0,0,743,.670,3,0,3,2,76,0.69,.556,15.87,13,6.27,12.09,1.93,6.30,2.70,0.64,23,6,0,2,3,,,,,,,
663586,Austin Riley,159,157,283,97,14,394,.964,2.39,2.43,1408.0,159,20,0,5,136,147,90,39,2,38,168,57,1,168,17,.273,615,.349,.528,.877,0,2,1.000,13,2641,,,,,,,,,,,,,,,,,,,,,,325,0.93,,,,,,,,,,,,0,0,4,,,693,93,269,.315,16.18
