,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
572204,Trayce Thompson,2,1,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,4,2,1,0,0,0,7,2,0,1,0,.071,14,.188,.071,.259,1,0,.000,0,72,,,,,,,,,,,,,,,,,,,,,,1,2.00,,,,,,,,,,,,0,0,0,16,2,8,.143,-.--,,
607208,Trea Turner,128,128,262,148,11,421,.974,3.20,3.33,1108.2,128,45,0,5,126,137,82,33,2,18,104,36,1,161,3,.308,522,.353,.483,.836,2,21,.913,9,2196,,,,,,,,,,,,,,,,,,,,,,252,0.92,,,,,,,,,,,,2,0,6,569,86,216,.352,29.00,,
542881,Tyler Anderson,24,22,27,9,1,37,.973,1.50,2.31,140.2,24,1,0,1,124,173,45,25,6,10,111,30,0,113,7,.219,515,.270,.350,.620,1,4,.800,12,2065,2.69,140.2,13,2,0,0,0,0,42,1.02,558,422,24,0,0,1410,.680,7,0,6,1,180,0.72,.867,14.68,0,3.70,7.10,1.92,7.23,2.88,0.64,0,0,0,3,3,1,0,1,.---,-.--,,
669257,Will Smith,19,18,0,0,0,0,.000,0.00,-.--,0.0,19,0,0,0,83,140,55,22,1,19,73,49,3,107,7,.268,399,.355,.471,.826,9,38,.809,8,1904,,,,,,,,,,,,,,,,,,,,28,1,188,0.59,,,,,,,,,,,,0,0,4,459,75,188,.283,21.00,4,2.65
676265,,8,4,1,0,0,1,1.000,0.13,0.38,24.2,8,0,0,0,15,37,13,6,0,6,23,12,0,18,2,.194,93,.299,.452,.751,0,2,1.000,0,416,4.74,24.2,0,2,0,0,0,0,13,1.22,107,74,8,0,0,263,.630,2,0,1,0,42,0.41,.000,16.86,4,1.92,8.39,4.38,6.57,4.74,2.19,2,0,0,0,0,,,,,,,
670970,Adrian Morejon,17,0,2,1,1,4,.750,0.18,1.17,23.0,17,0,0,1,18,29,8,1,0,2,21,5,0,20,1,.227,88,.277,.307,.584,0,2,1.000,3,367,2.74,23.0,3,0,0,0,3,0,7,1.09,94,69,17,0,0,242,.660,1,0,0,0,27,0.62,1.000,15.96,3,4.20,8.22,1.96,7.83,3.13,0.78,5,0,0,0,0,,,,,,,
543592,Austin Nola,6,5,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,73,97,32,11,0,3,52,30,1,71,5,.249,285,.323,.319,.642,6,49,.891,3,1262,,,,,,,,,,,,,,,,,,,,24,0,91,0.75,,,,,,,,,,,,2,0,8,328,34,122,.286,95.00,3,3.46
605483,Blake Snell,18,18,6,4,0,10,1.000,0.56,0.97,93.0,18,0,0,0,60,92,43,14,1,9,124,41,0,82,2,.233,352,.313,.355,.668,3,10,.769,4,1744,3.87,93.0,6,7,0,0,0,0,40,1.32,401,279,18,0,0,1093,.630,2,0,5,2,125,0.65,.462,18.75,0,3.02,12.00,3.97,7.94,4.16,0.87,0,0,0,1,5,0,0,0,.---,-.--,,
592273,Brandon Drury,9,9,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,18,35,12,3,0,4,23,4,0,19,1,.202,94,.240,.362,.602,1,0,.000,0,398,,,,,,,,,,,,,,,,,,,,,,34,0.51,,,,,,,,,,,,0,0,1,100,18,55,.221,23.50,,
666703,Eguy Rosario,1,0,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,.---,0,9,,,,,,,,,,,,,,,,,,,,,,0,0.00,,,,,,,,,,,,0,0,0,2,0,2,.000,-.--,,
673490,Ha-Seong Kim,101,95,266,93,6,365,.984,3.55,3.91,826.2,101,48,0,2,102,125,46,24,3,7,80,41,0,105,5,.257,408,.330,.382,.712,2,9,.818,8,1892,,,,,,,,,,,,,,,,,,,,,,156,0.82,,,,,,,,,,,,0,1,3,458,49,167,.302,58.29,,
630105,Jake Cronenworth,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,95,163,75,25,3,13,108,61,3,115,15,.242,476,.343,.389,.732,0,2,1.000,1,2191,,,,,,,,,,,,,,,,,,,,,,185,0.58,,,,,,,,,,,,3,0,5,560,66,181,.283,36.62,,
605397,Joe Musgrove,23,23,13,16,1,30,.967,1.26,1.84,142.2,23,1,0,1,158,121,54,28,2,16,138,29,0,121,10,.227,534,.277,.376,.653,0,6,1.000,10,2202,2.96,142.2,8,6,0,0,0,0,47,1.05,578,428,23,0,0,1475,.670,10,0,3,0,201,1.31,.571,15.43,0,4.76,8.71,1.83,7.63,3.41,1.01,0,0,1,0,4,,,,,,,
640492,Jose Azocar,3,0,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,39,36,17,6,3,0,32,10,0,37,0,.259,143,.305,.343,.648,5,4,.444,4,549,,,,,,,,,,,,,,,,,,,,,,49,1.08,,,,,,,,,,,,0,0,1,154,8,73,.330,-.--,,
605137,Josh Bell,12,12,0,0,0,0,.000,0.00,-.--,0.0,12,0,0,0,35,17,16,4,0,2,19,18,0,17,0,.193,88,.330,.307,.637,0,0,.---,0,446,,,,,,,,,,,,,,,,,,,,,,27,2.06,,,,,,,,,,,,1,0,0,107,9,46,.224,44.00,,
623352,Josh Hader,37,0,3,1,0,4,1.000,0.11,1.06,34.0,37,0,0,0,16,27,16,5,1,7,59,12,0,26,1,.203,128,.277,.422,.699,0,4,1.000,0,610,4.24,34.0,1,4,29,31,0,2,16,1.12,141,102,37,0,0,389,.640,1,0,2,0,54,0.59,.200,17.94,34,4.92,15.62,3.18,6.88,4.24,1.85,4,0,0,0,0,,,,,,,
665742,Juan Soto,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,21,23,18,3,1,3,13,21,0,21,0,.269,78,.424,.449,.873,0,0,.---,1,438,,,,,,,,,,,,,,,,,,,,,,35,0.91,,,,,,,,,,,,1,0,0,100,6,32,.290,26.00,,
595777,Jurickson Profar,5,5,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,132,142,70,29,2,12,83,66,0,112,4,.241,465,.339,.389,.728,1,5,.833,10,2331,,,,,,,,,,,,,,,,,,,,,,181,0.93,,,,,,,,,,,,0,2,2,539,48,182,.269,38.75,,
669134,Luis Campusano,4,3,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,7,4,1,0,0,0,3,0,0,3,0,.188,16,.176,.188,.364,0,3,1.000,1,46,,,,,,,,,,,,,,,,,,,,0,0,3,1.75,,,,,,,,,,,,0,0,1,17,1,10,.214,-.--,0,13.50
671277,Luis Garcia,59,58,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,75,49,19,13,2,5,51,4,0,69,1,.288,240,.298,.421,.719,4,2,.333,3,887,,,,,,,,,,,,,,,,,,,,,,101,1.53,,,,,,,,,,,,0,1,3,249,27,103,.342,48.00,,
592518,Manny Machado,13,13,0,0,0,0,.000,0.00,-.--,0.0,13,0,0,0,101,124,83,33,1,24,100,51,8,141,1,.304,464,.373,.534,.907,1,7,.875,11,1900,,,,,,,,,,,,,,,,,,,,,,248,0.81,,,,,,,,,,,,0,0,2,518,82,204,.342,19.33,,
605182,Mike Clevinger,17,16,6,5,3,14,.786,0.65,1.16,85.1,17,0,0,3,66,115,35,12,1,12,73,27,0,72,5,.222,324,.291,.377,.668,1,10,.909,3,1441,3.59,85.1,5,5,0,0,0,0,34,1.16,358,256,17,0,0,919,.640,5,0,2,0,122,0.57,.500,16.89,0,2.70,7.70,2.85,7.59,3.69,1.27,1,0,0,1,1,,,,,,,
622503,Nabil Crismatt,46,1,4,3,0,7,1.000,0.15,1.09,58.0,46,1,0,0,67,48,24,17,0,3,56,19,1,50,2,.229,218,.293,.349,.642,0,8,1.000,7,922,2.64,58.0,5,2,0,4,5,4,17,1.19,242,174,46,0,0,599,.650,2,2,0,0,76,1.40,.714,15.90,12,2.95,8.69,2.95,7.76,3.72,0.47,9,5,0,0,3,,,,,,,
607259,Nick Martinez,34,10,7,13,2,22,.909,0.59,1.94,93.1,34,2,0,1,101,86,36,17,0,13,82,35,0,86,4,.243,354,.317,.401,.718,1,4,.800,13,1516,3.18,93.1,3,3,8,8,3,0,33,1.30,394,280,34,0,0,986,.650,4,0,4,0,142,1.17,.500,16.24,12,2.34,7.91,3.38,8.29,3.47,1.25,14,6,0,0,1,,,,,,,
663158,Robert Suarez,32,0,1,3,0,4,1.000,0.13,1.06,34.1,32,0,0,0,28,31,13,4,0,4,40,16,0,23,3,.189,122,.298,.320,.618,1,1,.500,1,581,3.15,34.1,4,1,1,3,8,2,12,1.14,141,103,32,0,0,367,.630,3,1,2,0,39,0.90,.800,16.92,6,2.50,10.49,4.19,6.03,3.41,1.05,11,4,0,0,0,,,,,,,
640455,Sean Manaea,24,24,5,5,0,10,1.000,0.42,0.67,134.0,24,0,0,0,119,138,81,25,3,23,136,45,1,133,2,.256,520,.315,.448,.763,0,4,1.000,9,2104,4.90,134.0,7,7,0,0,0,0,73,1.33,573,402,24,0,0,1396,.660,2,0,0,0,233,0.86,.500,15.70,0,3.02,9.13,3.02,8.93,5.44,1.54,0,0,0,2,4,,,,,,,
621051,Steven Wilson,37,0,2,1,0,3,1.000,0.08,0.66,41.0,37,0,0,0,19,63,15,5,0,6,38,15,0,27,1,.186,145,.265,.345,.610,0,2,1.000,1,667,3.07,41.0,4,1,1,3,5,2,14,1.02,163,123,37,0,0,429,.640,1,0,3,0,50,0.30,.800,16.27,6,2.53,8.34,3.29,5.93,3.29,1.32,21,11,0,1,1,,,,,,,
657612,Tim Hill,44,0,6,5,2,13,.846,0.25,2.61,38.1,44,0,0,2,51,35,13,6,1,0,22,8,0,39,2,.269,145,.312,.324,.636,0,0,.---,6,583,2.82,38.1,3,0,0,0,7,0,12,1.23,157,115,44,0,0,381,.650,2,0,1,0,47,1.46,1.000,15.21,18,2.75,5.17,1.88,9.16,3.05,0.00,23,6,0,0,2,,,,,,,
663757,Trent Grisham,124,110,3,283,2,288,.993,2.31,2.59,995.0,124,1,0,0,106,100,52,15,2,16,120,53,1,77,6,.195,394,.299,.365,.664,0,5,1.000,3,1946,,,,,,,,,,,,,,,,,,,,,,144,1.06,,,,,,,,,,,,0,7,2,462,49,169,.235,24.62,,
571976,Wil Myers,2,0,1,70,1,72,.986,1.97,2.09,306.2,36,1,0,1,0,5,2,0,0,2,0,0,0,3,1,.429,7,.444,1.286,1.730,0,0,.---,0,31,10.80,1.2,0,0,0,0,0,0,2,1.80,9,5,2,0,0,22,.710,1,0,0,0,9,0.00,.---,18.60,2,-.--,0.00,0.00,16.20,10.80,10.80,2,1,0,0,1,206,29,110,.349,63.00,,
506433,Yu Darvish,24,24,5,15,0,20,1.000,0.83,1.16,155.2,24,0,0,0,139,166,59,17,0,17,153,29,0,125,10,.216,578,.264,.334,.598,2,13,.867,8,2386,3.41,155.2,11,7,0,0,0,0,59,0.99,622,467,24,0,0,1612,.680,10,1,4,0,193,0.84,.611,15.33,0,5.28,8.85,1.68,7.23,3.41,0.98,0,0,0,0,5,,,,,,,
676265,,8,4,1,0,0,1,1.000,0.13,0.38,24.2,8,0,0,0,15,37,13,6,0,6,23,12,0,18,2,.194,93,.299,.452,.751,0,2,1.000,0,416,4.74,24.2,0,2,0,0,0,0,13,1.22,107,74,8,0,0,263,.630,2,0,1,0,42,0.41,.000,16.86,4,1.92,8.39,4.38,6.57,4.74,2.19,2,0,0,0,0,,,,,,,
677950,Alek Thomas,95,87,3,256,3,262,.989,2.73,3.03,770.0,95,1,0,0,114,69,40,15,1,8,65,21,0,81,3,.248,326,.297,.374,.671,3,4,.571,6,1291,,,,,,,,,,,,,,,,,,,,,,122,1.65,,,,,,,,,,,,0,0,3,353,35,133,.285,40.75,,
592761,Caleb Smith,32,1,6,2,0,8,1.000,0.25,1.44,50.1,32,1,0,0,38,61,27,9,1,11,49,31,1,46,1,.237,194,.345,.464,.809,1,1,.500,2,900,4.47,50.1,1,1,0,0,5,0,25,1.53,226,151,32,0,0,565,.630,1,0,1,1,90,0.62,.500,17.88,10,1.58,8.76,5.54,8.23,4.83,1.97,14,3,0,0,0,,,,,,,
608348,Carson Kelly,2,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,1,4,3,1,0,0,0,1,0,4,0,.444,9,.500,.556,1.056,9,38,.809,0,35,13.50,2.0,0,0,0,0,0,0,3,2.50,10,6,2,0,0,21,.600,0,0,17,1,5,0.25,.---,17.50,2,0.00,0.00,4.50,18.00,13.50,0.00,0,0,0,0,0,257,31,119,.261,38.50,3,3.63
572233,Christian Walker,10,10,0,0,0,0,.000,0.00,-.--,0.0,10,0,0,0,113,142,68,19,1,30,97,62,2,104,7,.231,450,.330,.478,.808,2,0,.000,12,2021,,,,,,,,,,,,,,,,,,,,,,215,0.80,,,,,,,,,,,,0,0,6,525,73,205,.225,15.00,,
669450,Cooper Hummel,16,12,0,0,0,0,.000,0.00,-.--,0.0,16,0,0,0,38,29,15,5,3,2,53,20,0,24,1,.167,144,.273,.285,.558,0,2,1.000,4,675,,,,,,,,,,,,,,,,,,,,0,0,41,1.31,,,,,,,,,,,,0,0,0,165,13,63,.247,72.00,2,3.71
682998,Corbin Carroll,1,1,0,1,0,1,1.000,1.00,1.00,9.0,1,0,0,0,5,1,4,2,0,0,1,0,0,3,0,.300,10,.300,.500,.800,0,0,.---,0,36,,,,,,,,,,,,,,,,,,,,,,5,5.00,,,,,,,,,,,,0,0,0,10,5,5,.333,-.--,,
662139,Daulton Varsho,13,13,0,0,0,0,.000,0.00,-.--,0.0,13,0,0,0,100,114,61,20,3,18,110,40,0,101,5,.241,419,.312,.432,.744,6,12,.667,6,1869,,,,,,,,,,,,,,,,,,,,7,0,181,0.88,,,,,,,,,,,,2,2,4,471,58,145,.281,23.28,3,5.71
656896,Emmanuel Rivera,2,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,57,48,24,8,3,6,46,11,0,47,2,.237,198,.284,.399,.683,0,0,.---,7,788,,,,,,,,,,,,,,,,,,,,,,79,1.19,,,,,,,,,,,,0,0,0,211,22,89,.281,33.00,,
672695,Geraldo Perdomo,108,103,270,132,11,413,.973,3.72,3.97,911.0,108,70,0,5,118,89,50,9,2,4,85,44,0,66,4,.190,347,.288,.262,.550,2,6,.750,3,1675,,,,,,,,,,,,,,,,,,,,,,91,1.33,,,,,,,,,,,,0,10,1,406,33,138,.239,86.75,,
453178,Ian Kennedy,47,0,0,1,0,1,1.000,0.02,0.21,42.1,47,0,0,0,22,66,18,9,1,6,39,17,3,38,0,.232,164,.302,.409,.711,1,3,.750,2,694,3.19,42.1,4,6,9,13,10,4,15,1.30,183,127,47,0,0,460,.660,0,0,3,0,67,0.33,.400,16.39,19,2.29,8.29,3.61,8.08,3.83,1.28,7,1,1,0,1,0,0,0,.---,-.--,,
664983,Jake McCarthy,5,5,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,57,45,38,14,2,5,49,17,0,60,3,.288,208,.349,.447,.796,1,12,.923,2,826,,,,,,,,,,,,,,,,,,,,,,93,1.27,,,,,,,,,,,,0,2,1,231,30,80,.355,41.60,,
573009,Joe Mantiply,57,0,4,2,0,6,1.000,0.11,1.06,51.0,57,0,0,0,56,40,15,4,0,4,52,4,0,47,3,.245,192,.269,.328,.597,0,2,1.000,4,718,2.65,51.0,2,4,2,5,18,3,15,1.00,202,153,57,0,0,521,.730,3,1,2,0,63,1.40,.333,14.08,6,13.00,9.18,0.71,8.29,2.65,0.71,25,10,0,1,2,,,,,,,
668942,Josh Rojas,3,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,90,98,54,20,1,7,74,43,2,97,1,.276,351,.353,.399,.752,3,17,.850,3,1588,,,,,,,,,,,,,,,,,,,,,,140,0.92,,,,,,,,,,,,0,4,4,403,42,125,.328,50.14,,
606466,Ketel Marte,32,32,0,0,0,0,.000,0.00,-.--,0.0,32,0,0,0,105,120,59,33,2,10,82,47,2,101,5,.250,404,.333,.416,.749,1,4,.800,10,1795,,,,,,,,,,,,,,,,,,,,,,168,0.88,,,,,,,,,,,,0,0,4,460,45,161,.288,40.40,,
656464,Kevin Ginkel,13,0,1,0,0,1,1.000,0.08,0.69,13.2,13,0,0,0,13,10,9,4,0,1,15,5,0,16,1,.296,54,.367,.426,.793,0,1,1.000,3,215,5.27,13.2,1,0,0,2,0,2,8,1.54,60,41,13,0,0,144,.670,1,0,0,0,23,1.30,1.000,15.73,2,3.00,9.88,3.29,10.54,5.93,0.66,8,2,0,0,0,,,,,,,
666818,Luis Frias,8,0,0,0,0,0,.000,0.00,0.00,10.2,8,0,0,0,9,14,9,3,1,0,8,8,0,10,1,.244,41,.380,.366,.746,0,0,.---,1,202,7.59,10.2,1,0,0,0,1,0,9,1.69,50,32,8,0,0,116,.570,1,1,2,0,15,0.64,1.000,18.94,3,1.00,6.75,6.75,8.44,7.59,0.00,4,0,0,0,0,,,,,,,
518516,Madison Bumgarner,26,26,9,1,0,10,1.000,0.38,0.66,136.2,26,2,0,0,126,171,84,41,3,20,99,43,0,158,8,.286,552,.346,.480,.826,5,14,.737,13,2348,4.87,136.2,6,13,0,0,0,0,74,1.47,605,410,26,0,0,1518,.650,8,0,1,2,265,0.74,.316,17.18,0,2.30,6.52,2.83,10.40,5.53,1.32,0,0,0,1,1,,,,,,,
453343,Mark Melancon,50,0,6,2,0,8,1.000,0.16,1.64,44.0,50,1,0,0,49,48,33,9,0,2,30,18,2,53,1,.296,179,.364,.380,.744,1,3,.750,4,698,5.11,44.0,3,10,17,20,0,3,25,1.61,199,132,50,0,0,441,.630,1,0,5,0,68,1.02,.231,15.86,40,1.67,6.14,3.68,10.84,6.75,0.41,3,1,0,1,0,0,0,0,.---,-.--,,
