,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
456034,David Price,40,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,2.45,40.1,2,0,2,4,4,2,11,1.17,167,121,40,0,0,403,.680,0,0,0,0,0,-.--,1.000,14.78,13,4.11,8.26,2.01,8.48,2.45,1.34,12,4,0,0,0,6,1,0,7,1.000,0.18,1.58,40.1,40,0,0,0,0,0,0,.---,-.--,,
623465,Evan Phillips,64,0,51,54,11,6,0,2,77,15,1,33,3,.155,213,.219,.211,.430,1,3,.750,4,923,1.14,63.0,7,3,2,4,19,2,8,0.76,233,189,64,0,0,611,.660,3,0,0,0,45,0.94,.700,14.65,9,5.13,11.00,2.14,4.71,1.57,0.29,22,5,0,0,2,8,3,0,11,1.000,0.17,1.57,63.0,64,0,0,0,1,0,0,.---,-.--,,
518692,Freddie Freeman,157,157,141,172,116,46,2,20,102,84,12,196,5,.325,604,.407,.507,.914,3,13,.813,6,2733,,,,,,,,,,,,,,,,,,,,,,306,0.82,,,,,,,,,,,,0,0,7,91,1140,5,1236,.996,7.84,8.15,1359.2,157,100,0,0,700,98,204,.360,30.20,,
666158,Gavin Lux,1,1,120,86,65,19,7,6,95,47,0,115,0,.278,413,.350,.402,.752,2,7,.778,3,1821,,,,,,,,,,,,,,,,,,,,,,166,1.40,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,463,42,205,.346,68.83,,
593643,Hanser Alberto,10,0,6,26,5,2,0,2,1,3,0,10,1,.238,42,.298,.429,.727,0,0,.---,0,152,4.09,11.0,0,0,0,0,0,0,5,1.18,47,33,10,0,0,90,.590,1,0,0,0,18,0.23,.---,13.82,10,0.33,0.82,2.45,8.18,4.09,1.64,0,0,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,157,15,80,.268,77.00,,
608336,Joey Gallo,82,0,29,61,32,4,1,12,106,40,0,37,0,.159,233,.282,.339,.621,0,2,1.000,0,1142,,,,,,,,,,,,,,,,,,,,,,79,0.48,,,,,,,,,,,,0,0,0,0,2,0,2,1.000,2.00,3.00,6.0,1,0,0,0,273,24,122,.217,19.42,,
628711,Julio Urias,30,30,149,189,49,19,3,21,162,40,0,123,5,.199,619,.251,.341,.592,4,5,.556,13,2539,2.12,170.0,17,7,0,0,0,0,40,0.96,668,510,30,0,0,1752,.690,5,1,0,2,211,0.79,.708,14.94,0,4.05,8.58,2.12,6.51,2.59,1.11,0,0,0,0,4,11,3,1,15,.933,0.47,0.74,170.0,30,0,0,1,,,,,,,
457759,Justin Turner,60,60,96,157,61,36,0,13,87,50,1,129,6,.280,461,.352,.443,.795,0,3,1.000,13,2115,,,,,,,,,,,,,,,,,,,,,,204,0.61,,,,,,,,,,,,0,0,8,0,0,0,0,.000,0.00,-.--,0.0,60,0,0,0,525,81,199,.314,35.46,,
571970,Max Muncy,24,24,85,150,69,22,1,21,139,88,1,91,5,.198,459,.330,.388,.718,0,2,1.000,2,2407,,,,,,,,,,,,,,,,,,,,,,178,0.57,,,,,,,,,,,,0,0,6,0,0,0,0,.000,0.00,-.--,0.0,24,0,0,0,558,69,212,.230,21.86,,
678246,Miguel Vargas,16,4,9,16,3,1,0,1,13,1,0,8,0,.178,45,.191,.267,.458,0,1,1.000,0,190,,,,,,,,,,,,,,,,,,,,,,12,0.56,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,47,8,21,.219,45.00,,
605141,Mookie Betts,140,0,127,188,116,40,3,35,103,54,0,154,8,.271,568,.341,.537,.878,2,12,.857,8,2410,,,,,,,,,,,,,,,,,,,,,,305,0.68,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,634,82,196,.274,16.23,,
592454,Tommy Kahnle,13,0,15,6,4,0,0,2,14,3,0,5,3,.128,39,.239,.282,.521,0,0,.---,2,174,2.84,12.2,0,0,1,1,1,0,4,0.63,46,38,13,0,0,118,.680,3,0,1,0,11,2.50,.---,13.74,2,4.67,9.95,2.13,3.55,2.84,1.42,0,0,0,0,1,2,4,0,6,1.000,0.46,4.50,12.2,13,0,0,0,,,,,,,
664062,Tony Gonsolin,24,24,123,138,32,19,3,11,119,35,1,79,4,.172,458,.237,.299,.536,2,5,.714,11,2015,2.14,130.1,16,1,0,0,0,0,31,0.87,498,391,24,0,0,1333,.660,4,0,5,0,137,0.89,.941,15.46,0,3.40,8.22,2.42,5.46,2.21,0.76,0,0,0,0,1,10,9,0,19,1.000,0.79,1.32,130.1,24,0,0,0,,,,,,,
572204,Trayce Thompson,6,3,4,2,1,0,0,0,7,2,0,1,0,.071,14,.188,.071,.259,1,0,.000,0,72,,,,,,,,,,,,,,,,,,,,,,1,2.00,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,16,2,8,.143,-.--,,
607208,Trea Turner,158,158,155,175,100,39,4,20,129,45,1,192,3,.298,645,.343,.464,.807,3,27,.900,9,2696,,,,,,,,,,,,,,,,,,,,,,299,0.89,,,,,,,,,,,,2,0,6,331,174,16,521,.969,3.20,3.32,1371.2,158,54,0,9,701,97,262,.343,32.25,,
542881,Tyler Anderson,30,28,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,.---,0,5,2.57,178.2,15,5,0,0,0,0,51,1.00,707,536,30,0,0,1776,.690,9,0,6,1,0,-.--,.750,14.42,0,4.06,6.95,1.71,7.30,2.87,0.71,0,0,0,0,0,31,13,3,47,.936,1.47,2.22,178.2,30,2,0,2,1,0,1,.---,-.--,,
669257,Will Smith,136,24,105,176,68,26,3,24,95,56,4,132,10,.262,504,.345,.468,.813,0,1,1.000,11,2355,,,,,,,,,,,,,,,,,,,,28,1,236,0.60,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,25,0,0,0,574,87,246,.278,21.00,4,2.59
622075,Yency Almonte,32,0,37,30,4,4,0,2,33,10,1,18,3,.154,117,.237,.239,.476,0,2,1.000,4,456,1.05,34.1,0,0,1,2,8,1,4,0.82,131,103,32,0,0,296,.650,3,0,0,0,28,1.23,.---,13.28,3,3.30,8.65,2.62,4.72,1.05,0.52,7,2,0,0,1,3,4,1,8,.875,0.22,1.85,34.1,32,0,0,0,,,,,,,
676265,,15,8,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,82,0.40,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,0,0,1,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,,,,,,,
670970,Adrian Morejon,26,0,23,49,18,4,0,4,28,9,1,31,1,.238,130,.291,.362,.653,0,2,1.000,4,540,4.24,34.0,5,1,0,0,5,0,16,1.18,141,102,26,0,0,358,.660,1,0,0,0,47,0.47,.833,15.88,6,3.11,7.41,2.38,8.21,4.76,1.06,9,0,0,0,1,3,1,1,5,.800,0.15,1.06,34.0,26,1,0,1,,,,,,,
543592,Austin Nola,6,5,90,119,39,15,0,4,60,34,1,85,6,.247,344,.318,.326,.644,8,56,.875,4,1506,,,,,,,,,,,,,,,,,,,,27,0,112,0.76,,,,,,,,,,,,2,1,9,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,394,39,144,.280,86.00,5,3.40
605483,Blake Snell,24,24,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,3.38,128.0,8,10,0,0,0,0,48,1.20,535,384,24,0,0,1455,.620,2,0,6,3,0,-.--,.444,18.29,0,3.35,12.02,3.59,7.24,3.59,0.77,0,0,0,0,0,10,4,0,14,1.000,0.58,0.98,128.0,24,0,0,0,0,0,0,.---,-.--,,
641525,Brandon Dixon,2,2,1,2,1,1,0,0,3,0,0,1,0,.143,7,.143,.286,.429,0,0,.---,1,30,,,,,,,,,,,,,,,,,,,,,,2,0.50,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,7,1,3,.250,-.--,,
592273,Brandon Drury,14,14,34,51,25,9,0,8,39,9,0,39,4,.242,161,.295,.447,.742,1,0,.000,2,677,,,,,,,,,,,,,,,,,,,,,,72,0.67,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,176,28,89,.267,20.12,,
489334,Craig Stammen,32,0,49,29,17,4,0,8,32,7,0,39,2,.267,146,.304,.459,.763,1,3,.750,3,632,3.58,37.2,1,1,0,1,2,1,15,1.22,159,113,32,0,0,393,.620,2,0,3,0,67,1.69,.500,16.78,9,4.57,7.65,1.67,9.32,4.06,1.91,18,12,1,0,3,3,3,0,6,1.000,0.19,1.46,37.2,32,0,0,0,,,,,,,
673490,Ha-Seong Kim,130,124,129,163,57,28,3,11,100,51,0,128,7,.250,513,.323,.380,.703,2,12,.857,9,2350,,,,,,,,,,,,,,,,,,,,,,195,0.79,,,,,,,,,,,,0,3,4,325,119,8,452,.982,3.42,3.69,1083.0,130,59,0,3,578,57,212,.288,46.64,,
630105,Jake Cronenworth,2,2,122,201,88,30,4,17,129,70,3,140,16,.240,584,.333,.392,.725,0,3,1.000,2,2650,,,,,,,,,,,,,,,,,,,,,,229,0.61,,,,,,,,,,,,3,0,8,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,681,87,224,.276,34.35,,
605397,Joe Musgrove,30,30,185,160,67,36,2,22,184,42,1,154,14,.227,679,.284,.383,.667,0,7,1.000,13,2834,2.93,181.0,10,7,0,0,0,0,59,1.08,740,543,30,0,0,1880,.660,14,0,4,0,260,1.16,.588,15.66,0,4.38,9.15,2.09,7.66,3.33,1.09,0,0,1,0,4,17,19,1,37,.973,1.20,1.79,181.0,30,2,0,1,,,,,,,
595751,Jorge Alfaro,11,9,53,44,25,14,0,7,97,11,0,63,4,.248,254,.287,.386,.673,5,25,.833,5,1001,,,,,,,,,,,,,,,,,,,,26,1,98,1.20,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,272,40,121,.366,36.29,7,4.11
640492,Jose Azocar,3,0,55,51,23,9,3,0,43,12,0,52,0,.261,199,.302,.337,.639,6,5,.455,6,754,,,,,,,,,,,,,,,,,,,,,,67,1.08,,,,,,,,,,,,0,1,1,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,213,10,96,.331,-.--,,
605137,Josh Bell,31,30,61,39,25,5,0,3,41,30,0,34,0,.194,175,.312,.274,.586,0,0,.---,3,894,,,,,,,,,,,,,,,,,,,,,,48,1.56,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,31,0,0,0,206,14,95,.237,58.33,,
623352,Josh Hader,37,0,16,27,16,5,1,7,59,12,0,26,1,.203,128,.277,.422,.699,0,4,1.000,0,610,4.24,34.0,1,4,29,31,0,2,16,1.12,141,102,37,0,0,389,.640,1,0,2,0,54,0.59,.200,17.94,34,4.92,15.62,3.18,6.88,4.24,1.85,4,0,0,0,0,3,1,0,4,1.000,0.11,1.06,34.0,37,0,0,0,,,,,,,
665742,Juan Soto,51,1,52,51,31,8,1,6,33,44,2,43,1,.240,179,.393,.397,.790,0,0,.---,1,930,,,,,,,,,,,,,,,,,,,,,,71,1.02,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,225,16,66,.264,29.83,,
595777,Jurickson Profar,150,6,158,177,81,35,2,15,100,72,0,138,4,.243,567,.331,.392,.723,1,5,.833,11,2757,,,,,,,,,,,,,,,,,,,,,,222,0.89,,,,,,,,,,,,0,3,3,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,649,58,211,.270,37.80,,
669134,Luis Campusano,5,3,12,12,4,1,0,1,10,1,0,12,0,.267,45,.277,.356,.633,0,6,1.000,2,150,,,,,,,,,,,,,,,,,,,,1,0,16,1.00,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,47,5,17,.314,45.00,1,6.13
671277,Luis Garcia,59,58,111,67,29,22,2,7,79,11,1,96,1,.276,348,.297,.411,.708,4,3,.429,5,1281,,,,,,,,,,,,,,,,,,,,,,143,1.66,,,,,,,,,,,,0,1,4,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,365,45,145,.335,49.71,,
592518,Manny Machado,14,14,120,152,99,36,1,32,133,63,10,168,1,.294,571,.364,.529,.893,1,9,.900,12,2357,,,,,,,,,,,,,,,,,,,,,,302,0.79,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,637,101,255,.333,17.84,,
605182,Mike Clevinger,23,22,93,154,56,16,1,20,91,35,0,102,10,.233,437,.304,.412,.716,1,13,.929,4,1931,4.33,114.1,7,7,0,0,0,0,55,1.20,485,343,23,0,0,1234,.640,10,0,3,0,180,0.60,.500,16.89,0,2.60,7.16,2.76,8.03,4.41,1.57,1,0,0,1,2,8,6,3,17,.824,0.61,1.11,114.1,23,0,0,3,,,,,,,
607259,Nick Martinez,46,10,116,96,44,19,0,15,92,41,0,95,4,.239,398,.315,.399,.714,1,6,.857,13,1707,3.50,105.1,4,4,8,9,8,1,41,1.29,444,316,46,0,0,1107,.650,4,0,4,1,159,1.21,.500,16.21,14,2.24,7.86,3.50,8.12,3.76,1.28,19,8,0,0,1,11,13,3,27,.889,0.52,2.06,105.1,46,2,0,2,,,,,,,
572955,Pierce Johnson,14,0,12,8,7,2,0,0,19,8,0,12,0,.235,51,.339,.275,.614,0,2,1.000,1,259,4.73,13.1,1,2,0,1,6,1,7,1.50,59,40,14,0,0,159,.610,0,0,1,0,14,1.50,.333,19.43,1,2.38,12.83,5.40,8.10,4.72,0.00,1,0,0,0,0,1,1,0,2,1.000,0.14,1.38,13.1,14,0,0,0,,,,,,,
663158,Robert Suarez,44,0,36,39,13,6,0,4,59,21,0,29,4,.179,162,.289,.290,.579,2,1,.333,2,793,2.31,46.2,5,1,1,4,11,3,12,1.07,188,140,44,0,0,498,.630,4,1,2,0,47,0.92,.833,16.99,6,2.81,11.38,4.05,5.59,2.51,0.77,17,5,0,1,0,1,3,0,4,1.000,0.09,0.78,46.2,44,0,0,0,,,,,,,
640455,Sean Manaea,29,27,133,163,95,26,5,29,150,49,1,154,3,.260,593,.317,.467,.784,0,5,1.000,10,2416,5.15,152.0,7,9,0,0,0,0,87,1.34,652,456,29,0,0,1607,.670,3,0,0,0,277,0.82,.438,15.89,1,3.06,8.88,2.90,9.12,5.63,1.72,0,0,0,2,5,5,5,0,10,1.000,0.34,0.59,152.0,29,0,0,0,,,,,,,
621051,Steven Wilson,49,1,25,74,19,7,0,7,53,19,0,35,2,.189,185,.271,.341,.612,0,2,1.000,2,857,2.94,52.0,4,2,1,3,5,2,17,1.04,208,156,49,0,0,544,.630,2,0,4,0,63,0.34,.667,16.48,7,2.79,9.17,3.29,6.06,3.29,1.21,24,13,0,1,1,3,1,1,5,.800,0.08,0.69,52.0,49,0,0,1,,,,,,,
657612,Tim Hill,55,0,67,44,20,6,1,1,25,14,1,45,4,.251,179,.317,.313,.630,0,1,1.000,7,745,3.56,48.0,3,0,0,0,7,0,19,1.23,199,144,55,0,0,476,.640,4,0,1,0,56,1.52,1.000,15.52,21,1.79,4.69,2.63,8.44,3.75,0.19,29,8,0,0,2,7,6,2,15,.867,0.24,2.44,48.0,55,0,0,2,,,,,,,
663757,Trent Grisham,150,122,112,114,58,16,2,17,146,57,1,81,7,.182,444,.284,.342,.626,1,6,.857,3,2183,,,,,,,,,,,,,,,,,,,,,,152,0.98,,,,,,,,,,,,0,7,2,3,334,2,339,.994,2.31,2.70,1125.0,146,1,0,0,517,53,198,.226,26.12,,
571976,Wil Myers,36,35,3,8,3,0,0,3,0,0,0,4,1,.286,14,.313,.929,1.242,0,0,.---,0,43,7.36,3.2,0,0,0,0,0,0,3,1.09,16,11,4,0,0,32,.740,1,0,0,0,13,0.38,.---,11.73,4,-.--,0.00,0.00,9.82,7.36,7.36,2,1,0,0,1,1,70,1,72,.986,1.97,2.09,306.2,36,1,0,1,278,39,133,.353,42.33,,
506433,Yu Darvish,30,30,162,215,67,23,0,22,197,37,0,148,12,.207,715,.256,.331,.587,2,14,.875,10,2971,3.10,194.2,16,8,0,0,0,0,67,0.95,771,584,30,0,0,2016,.680,12,1,4,0,237,0.75,.667,15.26,0,5.32,9.11,1.71,6.84,3.10,1.02,0,0,0,1,6,5,15,1,21,.952,0.67,0.93,194.2,30,0,0,0,,,,,,,
676265,,15,8,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,82,0.40,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,0,0,1,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,,,,,,,
502171,Alex Cobb,27,27,188,87,71,23,0,9,144,43,0,145,3,.259,560,.314,.348,.662,2,15,.882,12,2345,3.79,144.2,7,7,0,0,0,0,61,1.30,611,434,27,0,0,1500,.640,3,1,4,1,195,2.16,.500,16.21,0,3.35,8.96,2.68,9.02,4.42,0.56,0,0,1,1,3,27,18,0,45,1.000,1.67,2.81,144.2,27,4,0,0,,,,,,,
622065,Alex Young,23,1,32,20,11,7,1,0,17,11,0,27,1,.284,95,.361,.379,.740,0,1,1.000,7,414,2.55,24.2,1,1,0,2,5,2,7,1.54,108,74,23,0,0,267,.640,1,0,3,0,36,1.60,.500,16.78,1,1.55,6.20,4.01,9.85,4.01,0.00,19,5,0,0,1,1,2,0,3,1.000,0.13,1.13,24.2,23,1,0,0,,,,,,,
607755,Andrew Vasquez,9,0,8,6,6,0,0,1,6,3,0,6,3,.231,26,.375,.346,.721,0,1,1.000,0,118,8.10,6.2,0,0,0,0,0,0,6,1.35,32,20,9,0,0,77,.650,3,1,1,0,9,1.33,.---,17.70,3,2.00,8.10,4.05,8.10,8.10,1.35,2,0,0,0,0,0,1,0,1,1.000,0.11,1.50,6.2,9,0,0,0,,,,,,,
596103,Austin Slater,2,0,71,42,48,15,2,6,88,39,0,71,6,.263,270,.366,.400,.766,1,11,.917,9,1293,,,,,,,,,,,,,,,,,,,,,,108,1.69,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,317,33,113,.365,45.00,,
642851,Austin Wynns,5,5,42,40,14,7,0,3,38,10,0,42,3,.263,160,.316,.363,.679,5,20,.800,9,698,13.50,2.0,0,0,0,0,0,0,3,2.00,10,6,2,0,0,13,.500,0,0,12,0,58,1.05,.---,13.00,2,0.00,0.00,4.50,13.50,13.50,4.50,0,0,3,1,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,175,21,80,.325,53.33,2,3.71
543063,Brandon Crawford,117,112,114,101,49,15,2,9,98,39,3,93,8,.231,403,.309,.345,.654,1,1,.500,12,1709,,,,,,,,,,,,,,,,,,,,,,139,1.13,,,,,,,,,,,,0,0,3,286,162,16,464,.966,3.90,4.16,970.0,115,66,0,11,453,51,199,.281,44.78,,
669369,Bryce Johnson,4,3,3,4,1,0,0,0,7,1,0,1,0,.067,15,.125,.067,.192,0,0,.---,0,51,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,,,,0,0,0,0,7,0,7,1.000,1.75,3.32,19.0,4,0,0,0,16,1,10,.125,-.--,,
666808,Camilo Doval,68,0,77,42,27,11,1,4,80,30,2,54,3,.218,248,.305,.319,.624,1,2,.667,2,1121,2.53,67.2,6,6,27,30,1,3,19,1.24,286,203,68,0,0,704,.630,3,0,4,0,79,1.83,.500,16.57,51,2.67,10.64,3.99,7.18,3.59,0.53,19,5,0,1,4,8,9,1,18,.944,0.25,2.28,67.2,68,0,0,0,,,,,,,
607074,Carlos Rodon,31,31,107,179,59,31,1,12,237,52,0,131,3,.202,649,.263,.308,.571,2,18,.900,10,2985,2.88,178.0,14,8,0,0,0,0,57,1.03,710,534,31,1,0,1979,.660,3,0,10,2,200,0.60,.636,16.77,0,4.56,11.98,2.63,6.62,2.98,0.61,0,0,1,2,3,9,3,0,12,1.000,0.39,0.61,178.0,31,0,0,0,,,,,,,
681584,David Villar,50,8,27,32,19,6,1,7,58,18,0,34,5,.227,150,.328,.420,.748,1,0,.000,4,713,,,,,,,,,,,,,,,,,,,,,,63,0.84,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,174,21,68,.314,21.43,,
665154,Ford Proctor,5,5,7,3,1,0,0,1,3,1,0,2,0,.154,13,.188,.385,.573,0,0,.---,0,62,,,,,,,,,,,,,,,,,,,,,,5,2.33,,,,,,,,,,,,0,0,2,9,2,0,11,1.000,2.20,2.48,40.0,5,1,0,0,16,6,2,.091,13.00,,
605204,J.D. Davis,47,0,21,23,20,8,0,8,50,18,1,36,2,.277,130,.373,.523,.896,0,0,.---,3,637,,,,,,,,,,,,,,,,,,,,,,68,0.91,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,0.00,2.0,2,0,0,0,150,14,50,.389,16.25,,
606424,Jarlin Garcia,58,0,58,77,34,11,1,10,56,18,1,60,1,.242,248,.295,.415,.710,0,3,1.000,4,1015,3.74,65.0,1,4,1,3,4,2,27,1.20,270,195,58,0,0,661,.650,1,0,2,0,103,0.75,.200,15.62,14,3.11,7.75,2.49,8.31,4.71,1.38,29,10,0,2,1,3,1,0,4,1.000,0.07,0.55,65.0,58,0,0,0,,,,,,,
613564,Jason Vosler,1,0,23,21,13,6,1,4,29,9,1,26,1,.265,98,.330,.469,.799,1,1,.500,3,411,,,,,,,,,,,,,,,,,,,,,,46,1.10,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,109,12,36,.333,24.50,,
