,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
607208,Trea Turner,155,155,154,173,98,39,4,20,124,43,1,189,3,.298,634,.343,.467,.810,3,26,.897,9,2647,,,,,,,,,,,,,,,,,,,,,,296,0.89,,,,,,,,,,,,2,0,6,324,173,16,513,.969,3.21,3.33,1344.2,155,52,0,9,,,688,97,257,.341,31.70
542881,Tyler Anderson,29,27,165,212,55,29,6,13,128,34,0,139,9,.218,637,.266,.344,.610,1,4,.800,16,2490,2.54,173.2,15,4,0,0,0,0,49,1.00,687,521,29,0,0,1713,.690,9,0,6,1,219,0.78,.789,14.34,0,3.76,6.63,1.76,7.20,2.85,0.67,0,0,0,3,4,31,13,3,47,.936,1.52,2.29,173.2,29,2,0,2,,,1,0,1,.---,-.--
669257,Will Smith,134,24,100,175,68,26,3,24,93,56,4,132,10,.266,496,.350,.476,.826,0,1,1.000,11,2323,,,,,,,,,,,,,,,,,,,,28,1,236,0.57,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,25,0,0,0,4,2.59,566,87,242,.282,20.67
622075,Yency Almonte,31,0,35,29,4,4,0,2,33,10,1,18,3,.158,114,.242,.246,.488,0,2,1.000,4,447,1.08,33.1,0,0,1,2,8,1,4,0.84,128,100,31,0,0,290,.650,3,0,0,0,28,1.21,.---,13.41,3,3.30,8.91,2.70,4.86,1.08,0.54,7,2,0,0,1,3,3,1,7,.857,0.19,1.64,33.1,31,0,0,0,,,,,,,
676265,,15,8,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,82,0.40,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,0,0,1,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,,,,,,,
670970,Adrian Morejon,25,0,21,48,18,4,0,4,26,8,1,30,1,.242,124,.291,.371,.662,0,2,1.000,3,504,4.50,32.0,4,1,0,0,5,0,16,1.19,134,96,25,0,0,334,.660,1,0,0,0,46,0.44,.800,15.75,6,3.25,7.31,2.25,8.44,5.06,1.13,9,0,0,0,1,2,1,1,4,.750,0.12,0.84,32.0,25,0,0,1,,,,,,,
543592,Austin Nola,107,5,87,117,39,15,0,4,59,33,1,84,6,.249,337,.319,.329,.648,1,2,.667,4,1480,,,,,,,,,,,,,,,,,,,,26,0,111,0.74,,,,,,,,,,,,0,1,9,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,4,3.43,386,38,140,.283,84.25
605483,Blake Snell,23,23,78,118,50,22,2,10,165,50,0,100,2,.220,455,.297,.343,.640,4,11,.733,6,2238,3.47,122.0,8,9,0,0,0,0,47,1.23,513,366,23,0,0,1395,.620,2,0,6,3,156,0.66,.471,18.34,0,3.30,12.17,3.69,7.38,3.69,0.74,0,0,0,1,5,10,4,0,14,1.000,0.61,1.03,122.0,23,0,0,0,,,0,0,0,.---,-.--
641525,Brandon Dixon,1,1,1,2,0,0,0,0,1,0,0,0,0,.000,4,.000,.000,.000,0,0,.---,1,18,,,,,,,,,,,,,,,,,,,,,,0,0.50,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,4,0,3,.000,-.--
592273,Brandon Drury,41,14,33,47,23,9,0,8,37,6,0,37,4,.243,152,.287,.461,.748,1,0,.000,2,632,,,,,,,,,,,,,,,,,,,,,,70,0.70,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,,,164,28,86,.266,19.00
489334,Craig Stammen,32,0,49,29,17,4,0,8,32,7,0,39,2,.267,146,.304,.459,.763,1,3,.750,3,632,3.58,37.2,1,1,0,1,2,1,15,1.22,159,113,32,0,0,393,.620,2,0,3,0,67,1.69,.500,16.78,9,4.57,7.65,1.67,9.32,4.06,1.91,18,12,1,0,3,3,3,0,6,1.000,0.19,1.46,37.2,32,0,0,0,,,,,,,
673490,Ha-Seong Kim,146,121,127,161,56,28,3,10,98,49,0,125,6,.248,504,.320,.375,.695,2,11,.846,9,2307,,,,,,,,,,,,,,,,,,,,,,189,0.79,,,,,,,,,,,,0,3,4,319,115,8,442,.982,3.42,3.70,1056.0,127,57,0,3,,,566,56,205,.288,50.40
630105,Jake Cronenworth,2,2,120,197,86,28,4,16,128,69,3,136,16,.237,573,.332,.384,.716,0,3,1.000,2,2609,,,,,,,,,,,,,,,,,,,,,,220,0.61,,,,,,,,,,,,3,0,8,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,669,83,222,.275,35.81
605397,Joe Musgrove,29,29,182,152,67,36,2,22,177,40,1,152,14,.231,659,.287,.392,.679,0,7,1.000,13,2749,3.03,175.0,10,7,0,0,0,0,59,1.10,718,525,29,0,0,1824,.660,14,0,4,0,258,1.20,.588,15.71,0,4.43,9.10,2.06,7.82,3.45,1.13,0,0,1,0,4,16,18,1,35,.971,1.17,1.75,175.0,29,2,0,1,,,,,,,
595751,Jorge Alfaro,79,9,52,44,25,14,0,7,97,11,0,63,4,.249,253,.288,.387,.675,0,1,1.000,5,997,,,,,,,,,,,,,,,,,,,,26,1,98,1.18,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,7,4.11,271,40,119,.368,36.14
640492,Jose Azocar,93,0,53,49,22,9,3,0,42,12,0,50,0,.260,192,.302,.339,.641,6,5,.455,6,735,,,,,,,,,,,,,,,,,,,,,,65,1.08,,,,,,,,,,,,0,1,1,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,,,206,10,94,.331,-.--
605137,Josh Bell,48,28,59,37,24,5,0,3,39,27,0,31,0,.187,166,.301,.271,.572,0,0,.---,2,833,,,,,,,,,,,,,,,,,,,,,,45,1.59,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,29,0,0,0,,,194,13,90,.226,55.33
623352,Josh Hader,37,0,16,27,16,5,1,7,59,12,0,26,1,.203,128,.277,.422,.699,0,4,1.000,0,610,4.24,34.0,1,4,29,31,0,2,16,1.12,141,102,37,0,0,389,.640,1,0,2,0,54,0.59,.200,17.94,34,4.92,15.62,3.18,6.88,4.24,1.85,4,0,0,0,0,3,1,0,4,1.000,0.11,1.06,34.0,37,0,0,0,,,,,,,
665742,Juan Soto,48,1,49,50,30,8,1,5,29,43,1,40,1,.238,168,.396,.387,.783,0,0,.---,1,889,,,,,,,,,,,,,,,,,,,,,,65,0.98,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,213,15,63,.261,33.60
595777,Jurickson Profar,148,6,155,176,81,35,2,15,97,72,0,137,4,.245,559,.334,.395,.729,1,5,.833,11,2718,,,,,,,,,,,,,,,,,,,,,,221,0.88,,,,,,,,,,,,0,3,3,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,641,58,208,.271,37.27
669134,Luis Campusano,14,3,12,10,4,1,0,1,8,1,0,12,0,.293,41,.302,.390,.692,0,0,.---,2,134,,,,,,,,,,,,,,,,,,,,1,0,16,1.20,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,1,6.45,43,5,15,.333,41.00
671277,Luis Garcia,87,58,109,65,26,21,2,6,76,11,1,92,1,.273,337,.295,.401,.696,4,3,.429,5,1238,,,,,,,,,,,,,,,,,,,,,,135,1.68,,,,,,,,,,,,0,1,4,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,,,354,39,144,.332,56.17
592518,Manny Machado,146,14,119,150,97,36,1,31,130,63,10,166,1,.295,563,.366,.528,.894,1,9,.900,11,2319,,,,,,,,,,,,,,,,,,,,,,297,0.79,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,,,629,100,252,.334,18.16
605182,Mike Clevinger,22,21,86,146,55,16,1,19,88,35,0,99,10,.238,416,.311,.418,.729,1,13,.929,4,1865,4.49,108.1,6,7,0,0,0,0,54,1.24,464,325,22,0,0,1186,.640,10,0,3,0,174,0.59,.462,17.22,0,2.51,7.31,2.91,8.22,4.57,1.58,1,0,0,1,2,8,5,3,16,.813,0.59,1.08,108.1,22,0,0,3,,,,,,,
607259,Nick Martinez,45,10,116,96,44,19,0,15,92,41,0,95,4,.239,398,.315,.399,.714,1,5,.833,13,1701,3.51,105.0,4,4,8,9,7,1,41,1.30,444,315,45,0,0,1104,.650,4,0,4,0,159,1.21,.500,16.20,14,2.24,7.89,3.51,8.14,3.77,1.29,18,8,0,0,1,10,13,3,26,.885,0.51,1.97,105.0,45,2,0,2,,,,,,,
572955,Pierce Johnson,13,0,11,8,6,2,0,0,19,7,0,10,0,.208,48,.309,.250,.559,0,2,1.000,0,239,4.26,12.2,1,2,0,1,6,1,6,1.34,55,38,13,0,0,148,.620,0,0,1,0,12,1.38,.333,18.87,1,2.71,13.50,4.97,7.11,4.26,0.00,1,0,0,0,0,1,1,0,2,1.000,0.15,1.50,12.2,13,0,0,0,,,,,,,
663158,Robert Suarez,43,0,36,38,13,6,0,4,57,21,0,29,4,.182,159,.293,.296,.589,2,1,.333,2,777,2.36,45.2,5,1,1,4,10,3,12,1.09,185,137,43,0,0,489,.630,4,1,2,0,47,0.95,.833,17.01,6,2.71,11.23,4.14,5.72,2.56,0.79,17,5,0,1,0,1,3,0,4,1.000,0.09,0.80,45.2,43,0,0,0,,,,,,,
640455,Sean Manaea,29,27,133,163,95,26,5,29,150,49,1,154,3,.260,593,.317,.467,.784,0,5,1.000,10,2416,5.15,152.0,7,9,0,0,0,0,87,1.34,652,456,29,0,0,1607,.670,3,0,0,0,277,0.82,.438,15.89,1,3.06,8.88,2.90,9.12,5.63,1.72,0,0,0,2,5,5,5,0,10,1.000,0.34,0.59,152.0,29,0,0,0,,,,,,,
621051,Steven Wilson,48,1,25,72,18,7,0,7,52,18,0,34,2,.188,181,.267,.343,.610,0,2,1.000,2,835,2.82,51.0,4,2,1,3,5,2,16,1.02,203,153,48,0,0,531,.640,2,0,3,0,62,0.35,.667,16.37,7,2.89,9.18,3.18,6.00,3.18,1.24,24,13,0,1,1,3,1,1,5,.800,0.08,0.71,51.0,48,0,0,1,,,,,,,
657612,Tim Hill,53,0,66,41,16,6,1,1,25,11,1,42,2,.244,172,.294,.308,.602,0,0,.---,7,704,2.89,46.2,3,0,0,0,7,0,15,1.14,187,140,53,0,0,456,.650,2,0,1,0,53,1.61,1.000,15.09,20,2.27,4.82,2.12,8.10,3.09,0.19,29,8,0,0,2,7,6,2,15,.867,0.25,2.54,46.2,53,0,0,2,,,,,,,
663757,Trent Grisham,147,121,112,113,57,15,2,17,143,57,1,80,7,.182,439,.285,.342,.627,1,6,.857,3,2160,,,,,,,,,,,,,,,,,,,,,,150,0.99,,,,,,,,,,,,0,7,2,3,332,2,337,.994,2.33,2.71,1114.0,144,1,0,0,,,512,53,196,.224,25.82
571976,Wil Myers,74,0,49,60,27,15,0,5,80,20,1,64,1,.256,250,.310,.376,.686,1,2,.667,7,1105,7.36,3.2,0,0,0,0,0,0,3,1.09,16,11,4,0,0,32,.740,1,0,0,0,94,0.82,.---,11.73,4,-.--,0.00,0.00,9.82,7.36,7.36,2,1,0,0,3,1,70,1,72,.986,1.97,2.09,306.2,36,1,0,1,,,274,36,133,.351,50.00
506433,Yu Darvish,30,30,162,215,67,23,0,22,197,37,0,148,12,.207,715,.256,.331,.587,2,14,.875,10,2971,3.10,194.2,16,8,0,0,0,0,67,0.95,771,584,30,0,0,2016,.680,12,1,4,0,237,0.75,.667,15.26,0,5.32,9.11,1.71,6.84,3.10,1.02,0,0,0,1,6,5,15,1,21,.952,0.67,0.93,194.2,30,0,0,0,,,,,,,
676265,,15,8,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,82,0.40,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,0,0,1,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,,,,,,,
502171,Alex Cobb,27,27,188,87,71,23,0,9,144,43,0,145,3,.259,560,.314,.348,.662,2,15,.882,12,2345,3.79,144.2,7,7,0,0,0,0,61,1.30,611,434,27,0,0,1500,.640,3,1,4,1,195,2.16,.500,16.21,0,3.35,8.96,2.68,9.02,4.42,0.56,0,0,1,1,3,27,18,0,45,1.000,1.67,2.81,144.2,27,4,0,0,,,,,,,
622065,Alex Young,22,1,30,18,10,5,1,0,17,11,0,23,1,.264,87,.350,.345,.695,0,1,1.000,6,382,2.35,23.0,1,1,0,1,5,1,6,1.48,100,69,22,0,0,244,.640,1,0,3,0,30,1.67,.500,16.61,1,1.55,6.65,4.30,9.00,3.91,0.00,19,5,0,0,1,1,2,0,3,1.000,0.14,1.17,23.0,22,1,0,0,,,,,,,
596103,Austin Slater,2,0,70,41,46,15,2,5,87,39,0,69,6,.260,265,.365,.389,.754,1,11,.917,9,1270,,,,,,,,,,,,,,,,,,,,,,103,1.71,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,312,32,111,.366,53.00
642851,Austin Wynns,2,0,1,5,3,1,0,1,0,1,0,3,0,.333,9,.400,.778,1.178,0,0,.---,0,26,13.50,2.0,0,0,0,0,0,0,3,2.00,10,6,2,0,0,13,.500,0,0,0,0,7,0.20,.---,13.00,2,0.00,0.00,4.50,13.50,13.50,4.50,0,0,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,2,3.72,174,21,77,.328,53.00
543063,Brandon Crawford,115,110,112,101,48,15,2,9,95,37,3,92,8,.232,397,.308,.348,.656,1,1,.500,11,1677,,,,,,,,,,,,,,,,,,,,,,138,1.11,,,,,,,,,,,,0,0,3,279,159,16,454,.965,3.88,4.14,952.0,113,62,0,11,,,445,49,197,.280,44.11
666808,Camilo Doval,67,0,74,42,27,11,1,4,80,30,2,54,3,.220,245,.309,.322,.631,1,2,.667,2,1109,2.57,66.2,6,6,27,30,1,3,19,1.26,283,200,67,0,0,698,.630,3,0,4,0,79,1.76,.500,16.64,51,2.67,10.80,4.05,7.29,3.64,0.54,19,5,0,1,4,8,7,1,16,.938,0.22,2.05,66.2,67,0,0,0,,,,,,,
607074,Carlos Rodon,31,31,107,179,59,31,1,12,237,52,0,131,3,.202,649,.263,.308,.571,2,18,.900,10,2985,2.88,178.0,14,8,0,0,0,0,57,1.03,710,534,31,1,0,1979,.660,3,0,10,2,200,0.60,.636,16.77,0,4.56,11.98,2.63,6.62,2.98,0.61,0,0,1,2,3,9,3,0,12,1.000,0.39,0.61,178.0,31,0,0,0,,,,,,,
681584,David Villar,8,7,26,32,19,6,1,7,55,18,0,30,4,.211,142,.315,.415,.730,1,0,.000,3,678,,,,,,,,,,,,,,,,,,,,,,59,0.81,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,8,0,0,0,,,165,19,66,.284,20.29
446334,Evan Longoria,88,8,49,70,31,13,0,14,81,27,2,65,2,.247,263,.320,.456,.776,0,0,.---,6,1171,,,,,,,,,,,,,,,,,,,,,,120,0.70,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,17,0,0,0,,,294,41,118,.300,18.79
665154,Ford Proctor,4,4,4,2,1,0,0,1,3,1,0,2,0,.200,10,.250,.500,.750,0,0,.---,0,48,,,,,,,,,,,,,,,,,,,,,,5,2.00,,,,,,,,,,,,0,0,1,9,0,0,9,1.000,2.25,2.61,31.0,4,1,0,0,,,12,5,2,.143,10.00
605204,J.D. Davis,44,0,19,18,18,8,0,7,48,16,1,33,2,.280,118,.375,.525,.900,0,0,.---,3,568,,,,,,,,,,,,,,,,,,,,,,62,1.06,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,0.00,2.0,2,0,0,0,,,136,13,43,.413,16.86
596001,Jakob Junis,22,17,117,104,53,30,2,13,94,23,0,112,4,.263,426,.307,.434,.741,1,11,.917,5,1719,4.28,107.1,5,6,0,0,0,0,51,1.26,454,322,22,0,0,1133,.660,4,0,1,2,185,1.13,.455,16.02,0,4.09,7.88,1.93,9.39,4.44,1.09,1,1,0,1,0,11,6,1,18,.944,0.77,1.43,107.1,22,0,0,0,,,,,,,
613564,Jason Vosler,32,0,22,20,13,5,1,4,27,9,1,25,1,.269,93,.337,.473,.810,1,1,.500,3,389,,,,,,,,,,,,,,,,,,,,,,44,1.10,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,,,104,12,35,.333,23.25
605194,Jharel Cotton,25,0,23,49,13,5,0,7,31,16,0,23,2,.185,124,.285,.395,.680,1,2,.667,2,582,2.83,35.0,2,2,0,2,2,2,11,1.11,144,105,25,0,0,374,.640,2,0,2,0,49,0.47,.500,16.63,7,1.94,7.97,4.11,5.91,3.34,1.80,8,6,0,0,2,2,1,0,3,1.000,0.12,0.77,35.0,25,0,0,0,,,,,,,
